npi,depression,tobacco,weight,bloodpressure,comparingmeds,reduceheart
1659347961,,100,100,,,
1720077076,,100,,,,
1790775518,,,98,,,
1982631875,,100,39,,,
1831181031,,99,42,,,
1326039157,,,98,,,
1770508426,,100,,,,
1811993918,,100,65,,,
1962499186,,100,,,,
1073615738,,96,99,99,,
1285606301,,,100,,,
1639164825,,100,,,,
1578524088,,100,,,,
1154358547,,100,,,,
1952332231,,100,,,,
1518061761,100,100,,,,
1245225440,,100,,100,,
1366440810,,,100,,,
1821026022,,100,,,,
1457302044,,100,,,,
1144272337,,,97,,,
1003879115,,95,,,,
1669522900,,90,,,,
1427059898,,98,,,,
1639174618,,100,100,,,
1437118601,,100,100,97,,
1689746364,,,97,,,
1811991508,,99,,,,
1447258330,,,36,,,
1558574715,,,100,,,
1003081449,97,98,,,,
1841480217,,,,100,,
1285827337,,80,,,,
1104912914,,100,,,,
1154345684,,97,,,,
1417044967,,99,52,,,
1043393564,,92,38,,,
1487862926,,100,24,,,
1558321653,,100,100,,,
1497926679,,,80,,,
1316912405,,100,,,,
1912998600,,100,,,,
1346200730,,100,,,,
1114016508,,,100,,,
1457317562,,73,96,93,,
1750303343,,93,32,,,
1770544298,,,100,,,
1164560868,,99,99,97,,
1366480766,,,100,,,
1972558229,,98,,,,
1174521595,,100,,,,
1619951563,,,100,,,
1447322482,,,0,,,
1861564908,,91,,,,
1447457338,,,85,,,
1871677195,,100,,,,
1285727529,,92,98,100,,
1811181910,,,95,,,
1366468209,0,99,43,,,
1750339578,,100,,,,
1356469522,,,,100,,
1588684302,,90,,,,
1053411355,,100,,,,98
1316094956,,,100,,,
1528079548,,,100,,,
1205979945,,,0,,,
1649289836,,100,,,,
1497746952,,91,,,,
1225038466,,100,100,,,
1457405102,,74,50,51,,
1013901354,,86,47,,,
1720111529,,,98,,,
1477595684,,88,46,,,100
1063562007,,100,,,,
1730284001,,94,,,,
1962505966,,98,83,,,
1497956411,,99,98,,,
1366515595,,99,97,,100,95
1043276249,100,100,100,,,96
1285743559,,100,59,,,
1669441895,,43,70,45,,
1437120698,,99,,,,
1184694739,,100,100,,,
1427046366,,,100,,,
1922092410,,100,91,,,
1205922218,,90,47,,57,
1760699029,,94,44,,,
1255460200,,100,,100,,
1245442987,,100,,,,
1952498024,,96,,,,
1992985949,,,,100,,
1265698716,,,,,,92
1366600561,,96,,,,
1841283702,,100,,,,
1679739742,,100,100,,,
1982857298,,89,,,,
1932129095,,100,97,,,
1104827336,,99,,,,
1881929362,,,100,,,
1255330395,,100,100,,,
1588640015,,,98,100,,
1396794327,,100,,,,
1265439178,,94,,,,
1326095241,,100,100,,,
1538141569,,98,,,,
1114250495,99,,,,,
1932341781,,,100,,,
1598768574,,96,,,,
1861520819,,100,,,,
1700887007,,,,100,,
1114924925,,98,,,,
1902802242,,100,,,,
1215974894,,,94,,,
1275554081,,,100,,,
1356310783,,100,62,,,
1831234509,,100,94,,,97
1417949116,,92,100,100,,100
1356675144,,,9,,,
1639166036,,,55,,,
1467616383,,100,,,,
1124085881,,93,,,,
1033320049,,91,45,,,
1902825425,,80,4,,,
1316934698,,,98,,,
1447405972,,100,,,,
1699815977,,,,,,93
1508092685,,,87,,,
1083644728,,,,100,,
1679770382,,,43,,,
1922134964,,,66,,,
1386763704,,85,,,,
1659535524,,86,41,,,
1033319892,,88,56,,,
1801120639,,,100,,,
1538456744,,,1,,,
1710272638,,,,99,,
1568760551,,0,,,,
1073737532,,100,,,,
1588653687,,,100,,,
1194782540,,96,60,92,,
1750603148,100,100,99,,,
1548283443,,,100,,,
1679857619,,,98,,,
1255630117,,,63,,,
1619124310,,,100,,,
1346462660,,100,,,,
1871627554,,100,,,,
1821039306,,88,49,,,
1912903907,,,0,,,
1275663866,,,100,,,
1376701664,,95,,,,
1487955431,,,100,,,
1831257872,,99,92,,,
1023213741,,,100,,,
1285955807,,99,83,100,,
1821302324,,,100,,,
1194979435,,92,,,,
1801805940,,99,100,,,
1851362628,100,,,,,
1154634780,,94,44,,,
1568580496,,,,98,,
1902034085,,,100,,,
1518916097,,,,100,,
1982672549,,,67,,,
1851384291,,13,0,,,
1104886662,,100,,,,
1457540742,,100,,,,
1881986263,,98,57,,,
1821419532,,98,,,,
1699062984,,100,100,,,
1497956403,,100,34,,,
1356630172,,98,,,,
